数据库：年度数据,,,,,,,,,,,,,,,,,,,,
时间：最近20年,,,,,,,,,,,,,,,,,,,,
指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
国内生产总值(亿元),1260582.1,1204724,1149237,1013567,986515.2,919281.1,832035.9,746395.1,688858.2,643563.1,592963.2,538580,487940.2,412119.3,348517.7,319244.6,270092.3,219438.5,187318.9,161840.2
劳动力(万人),,76863,78024,78392,78985,78653,79042,79282,80091,79690,79300,78894,78579,78388,77510,77046,76531,76315,76120,75290
城镇登记失业人数(万人),1074,1203,1040,1160,945,974,972,982,966,952,926,917,922,908,921,886,830,847,839,827
城镇登记失业率(%),,,4,4.2,3.6,3.8,3.9,4,4.1,4.1,4.1,4.1,4.1,4.1,4.3,4.2,4,4.1,4.2,4.2
社会消费品零售总额(亿元),471495.2,439732.5,440823.2,391980.6,408017.2,377783.1,347326.7,315806.2,286587.8,259487.3,232252.6,205517.3,179803.8,152083.1,128331.3,110994.6,90638.4,76827.2,66491.7,58004.1
全社会固定资产投资(亿元),509707.91,495966.38,473002.55,451154.75,439541.18,418215.18,394926.15,372020.75,347827.38,320330.9,282485.47,241745.49,205036.37,218833.6,181760.35,144586.76,118323.17,97583.07,80993.58,66234.97
房地产开发投资(亿元),110912.88,122697.12,136275.2,130816.21,122629.28,111980.27,102758.51,96383.85,90530.75,89916.7,81921.59,69044.06,60027.44,47502.41,36241.81,31203.19,25288.84,19422.92,15909.25,13158.3
年末总人口(万人),140967,141175,141260,141212,141008,140541,140011,139232,138326,137646,136726,135922,134916,134091,133450,132802,132129,131448,130756,129988
0-14岁人口(万人),23063,23908,24678,25277,23689,23751,23522,23252,22824,22712,22423,22427,22261,22259,24659,25166,25660,25961,26504,27947
15-64岁人口(万人),96228,96289,96526,96871,99552,100065,100528,100943,100978,101032,101041,100718,100378,99938,97484,96680,95833,95068,94197,92184
65岁及以上人口(万人),21676,20978,20056,19064,17767,16724,15961,15037,14524,13902,13262,12777,12277,11894,11307,10956,10636,10419,10055,9857
居民消费价格指数(上年=100),100.2,102,100.9,102.5,102.9,102.1,101.6,102,101.4,102,102.6,102.6,105.4,103.3,99.3,105.9,104.8,101.5,101.8,103.9
商品零售价格指数(上年=100),,102.7,101.6,101.4,102,101.9,101.1,100.7,100.1,101,101.4,102,104.9,103.1,98.8,105.9,103.8,101,100.8,102.8
固定资产投资价格指数(上年=100),,,,,102.6,105.4,105.8,99.4,98.2,100.5,100.3,101.1,106.6,103.6,97.6,108.9,103.9,101.5,101.6,105.6
注：1.社会消费品零售总额1992年以前为社会商品零售总额。,,,,,,,,,,,,,,,,,,,,
　　　2.根据第四次全国经济普查结果及有关制度规定，对1993-2019年社会消费品零售总额数据进行修订。,,,,,,,,,,,,,,,,,,,,
"　　　3.1995-1996年，除房地产投资、农村集体投资、个人投资以外，投资统计的起点为5万元；自1997年起，除房地产投资、农村集体投资、个人投资以外，投资统计的起点由5万元提高到50万元；自2011年起,除房地产投资、农村个人投资外，固定资产投资的统计起点由50万元提高至500万元。为便于比较，1996、2010年数据作了相应调整。",,,,,,,,,,,,,,,,,,,,
　　　4.1981年及以前人口数据为户籍统计数；1982、1990、2000、2010、2020年数据为当年人口普查数据推算数；其余年份数据为年度人口抽样调查推算数据。总人口和按性别分人口中包括现役军人，按城乡分人口中现役军人计入城镇人口。,,,,,,,,,,,,,,,,,,,,
　　　5.1981年及以前人口数据为户籍统计数；1982、1990、2000、2010、2020年数据为当年人口普查数据推算数；其余年份数据为年度人口抽样调查推算数据；2011—2019年数据根据2020年人口普查数据修订。,,,,,,,,,,,,,,,,,,,,
　　　6.总人口和按性别分人口中包括现役军人，按城乡分人口中现役军人计入城镇人口。,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,
